af_mapping,qc_mapping,desc,current,cr23x_PJ_2009_01_01_0030_compilation,cr23x_PJ_2013_01_01_0030_compilation,cr23x_PJ_2014_01_01_0030,cr23x_PJ_2014_03_19_1400,cr23x_PJ_2014_03_25_1430,cr23x_PJ_2014_05_23_0930,cr23x_PJ_2014_11_12_1100,cr23x_PJ_2014_11_13_1630,cr23x_PJ_2014_12_05_1500,cr23x_PJ_2014_12_06_1030
NaN,,NaN,soilT_Avg_16,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_17,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_18,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_19,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_20,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_21,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_22,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_23,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_24,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_25,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
