current,cr23x_PJ_2014_01_01_0030,cr23x_PJ_2014_03_19_1400,cr23x_PJ_2014_03_25_1430,cr23x_PJ_2014_05_23_0930,cr23x_PJ_2014_11_12_1100,cr23x_PJ_2014_11_13_1630,cr23x_PJ_2014_12_05_1500,cr23x_PJ_2014_12_06_1030
tdrWC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG
tdrWC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG
tdrWC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG
tdrWC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG
tdrWC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG
tdrWC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG
tdrWC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG
tdrWC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG
tdrWC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG
tdrWC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG
