af_mapping,qc_mapping,desc,current,cr23x_PJ_girdle_2009_01_01_0030_compilation,cr23x_PJ_girdle_2012_01_01_0030_compilation,cr23x_PJ_girdle_2013_01_01_0030_compilation,cr23x_PJ_girdle_2014_01_01_0030,cr23x_PJ_girdle_2014_03_26_1130,cr23x_PJ_girdle_2014_08_28_1130
NaN,SWC_P2_5_AVG,NaN,WC_P2_5_AVG,current,current,current,current,current,current
NaN,SWC_P2_10_AVG,NaN,WC_P2_10_AVG,current,current,current,current,current,current
NaN,SWC_P2_30_AVG,NaN,WC_P2_30_AVG,current,current,current,current,current,current
NaN,SWC_P3_5_AVG,NaN,WC_P3_5_AVG,current,current,current,current,current,current
NaN,SWC_P3_10_AVG,NaN,WC_P3_10_AVG,current,current,current,current,current,current
NaN,SWC_P3_30_AVG,NaN,WC_P3_30_AVG,current,current,current,current,current,current
NaN,SWC_J1_5_AVG,NaN,WC_J1_5_AVG,current,current,current,current,current,current
NaN,SWC_J1_10_AVG,NaN,WC_J1_10_AVG,current,current,current,current,current,current
NaN,SWC_J1_30_AVG,NaN,WC_J1_30_AVG,current,current,current,current,current,current
NaN,SWC_J2_5_AVG,NaN,WC_J2_5_AVG,current,current,current,current,current,current
NaN,SWC_J2_10_AVG,NaN,WC_J2_10_AVG,current,current,current,current,current,current
NaN,SWC_J2_30_AVG,NaN,WC_J2_30_AVG,current,current,current,current,current,current
NaN,SWC_J3_5_AVG,NaN,WC_J3_5_AVG,current,current,current,current,current,current
NaN,SWC_J3_10_AVG,NaN,WC_J3_10_AVG,current,current,current,current,current,current
NaN,SWC_J3_30_AVG,NaN,WC_J3_30_AVG,current,current,current,current,current,current
NaN,SWC_O1_5_AVG,NaN,WC_O1_5_AVG,current,current,current,current,current,current
NaN,SWC_O1_10_AVG,NaN,WC_O1_10_AVG,current,current,current,current,current,current
NaN,SWC_O1_30_AVG,NaN,WC_O1_30_AVG,current,current,current,current,current,current
NaN,SWC_O2_5_AVG,NaN,WC_O2_5_AVG,current,current,current,current,current,current
NaN,SWC_O2_10_AVG,NaN,WC_O2_10_AVG,current,current,current,current,current,current
NaN,SWC_O2_30_AVG,NaN,WC_O2_30_AVG,current,current,current,current,current,current
NaN,SWC_O3_5_AVG,NaN,WC_O3_5_AVG,current,current,current,current,current,current
NaN,SWC_O3_10_AVG,NaN,WC_O3_10_AVG,current,current,current,current,current,current
NaN,SWC_O3_30_AVG,NaN,WC_O3_30_AVG,current,current,current,current,current,current
NaN,SHF_P1_AVG,NaN,shf_P1_AVG,current,current,current,current,current,current
NaN,SHF_P2_AVG,NaN,shf_P2_AVG,current,current,current,current,current,current
NaN,SHF_P3_AVG,NaN,shf_P3_AVG,current,current,current,current,current,current
NaN,SHF_J1_AVG,NaN,shf_J1_AVG,current,current,current,current,current,current
NaN,SHF_J2_AVG,NaN,shf_J2_AVG,current,current,current,current,current,current
NaN,SHF_J3_AVG,NaN,shf_J3_AVG,current,current,current,current,current,current
NaN,SHF_O1_AVG,NaN,shf_O1_AVG,current,current,current,current,current,current
NaN,SHF_O2_AVG,NaN,shf_O2_AVG,current,current,current,current,current,current
NaN,SHF_O3_AVG,NaN,shf_O3_AVG,current,current,current,current,current,current
NaN,,NaN,hfp_cal_1,current,current,current,current,LaLP1_5,LaLP1_5
NaN,,NaN,hfp_cal_2,current,current,current,current,LaLP1_10,LaLP1_10
NaN,,NaN,hfp_cal_3,current,current,current,current,LaLP1_30,LaLP1_30
NaN,,NaN,hfp_cal_4,current,current,current,current,LaLP2_5,LaLP2_5
NaN,,NaN,hfp_cal_5,current,current,current,current,LaLP2_10,LaLP2_10
