current,previous1,previous2,previous3,previous4,previous5
AirTC_Avg,t_hmp_mean,,,,
RH_Avg,rh_hmp,,,,
co2_mean_Avg,co2_mean,,,,
co2_um_m_Avg,co2_u_mol_Avg,,,,
stdev_co2,cov_co2_co2,,,,
stdev_h2o,cov_h2o_h2o,,,,
stdev_Ts,cov_Ts_Ts,,,,
cov_co2_Ux,cov_Ux_co2,,,,
cov_h2o_Ux,cov_Ux_h2o,,,,
cov_Ts_Ux,cov_Ux_Ts,,,,
stdev_Ux,cov_Ux_Ux,,,,
cov_Ux_Uy,cov_Uy_Ux,,,,
cov_co2_Uy,cov_Uy_co2,,,,
cov_h2o_Uy,cov_Uy_h2o,,,,
cov_Ts_Uy,cov_Uy_Ts,,,,
stdev_Uy,cov_Uy_Uy,,,,
cov_co2_Uz,cov_Uz_co2,,,,
cov_h2o_Uz,cov_Uz_h2o,,,,
cov_Ts_Uz,cov_Uz_Ts,,,,
cov_Ux_Uz,cov_Uz_Ux,,,,
cov_Uy_Uz,cov_Uz_Uy,,,,
stdev_Uz,cov_Uz_Uz,,,,
e_hmp_mean_Avg,e_Avg,,,,
h2o_mean_Avg,h2o_Avg,,,,
h2o_hmp_mean_Avg,h2o_hmp_mean,,,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,,,
SoilT_O1_22p5_Avg,SoilT_O3_2p5_Avg_rename,mux25t_signal_Avg_13,mux25t_signal_Avg_3_rename,,
SoilT_O1_37p5_Avg,SoilT_O3_12p5_Avg_rename,mux25t_signal_Avg_14,,,
SoilT_O1_52p5_Avg,SoilT_O3_22p5_Avg_rename,mux25t_signal_Avg_15,,,
SoilT_O2_2p5_Avg,SoilT_O337p5_Avg_rename,mux25t_signal_Avg_16,mux25t_signal_Avg_7_rename,,
SoilT_O2_12p5_Avg,SoilT_O3_52p5_Avg_rename,mux25t_signal_Avg_17,mux25t_signal_Avg_8_rename,,
SoilT_O2_22p5_Avg,SoilT_G3_2p5_Avg_rename,mux25t_signal_Avg_18,mux25t_signal_Avg_9_rename,,
SoilT_O2_37p5_Avg,SoilT_G3_12p5_Avg_rename,mux25t_signal_Avg_19,,,
SoilT_O2_52p5_Avg,SoilT_G3_22p5_Avg_rename,mux25t_signal_Avg_20,,,
SoilT_O3_2p5_Avg,,,mux25t_signal_Avg_13_rename,,
SoilT_O3_12p5_Avg,,,mux25t_signal_Avg_14_rename,,
SoilT_O3_22p5_Avg,,,mux25t_signal_Avg_15_rename,,
SoilT_O337p5_Avg,,,mux25t_signal_Avg_16_rename,,
SoilT_O3_52p5_Avg,,,,,
soil_water_T_4,soil_water_T_2_1,,,,
soil_water_T_5,soil_water_T_2_2,,,,
soil_water_T_6,soil_water_T_2_3,,,,
soil_water_T_10,soil_water_T_4_1,,,,
soil_water_T_11,soil_water_T_4_2,,,,
soil_water_T_12,soil_water_T_4_3,,,,
soil_water_T_18,soil_water_T_6_3,,,,
soil_water_T_19,soil_water_T_7_1,,,,
