af_mapping,qc_mapping,desc,current,TOA5_New_GLand_2009_12_15_1200,TOA5_New_GLand_2010_02_24_1600,TOA5_New_GLand_2010_03_12_1630,TOA5_New_GLand_2010_03_26_1400,TOA5_New_GLand_2010_05_05_1630,TOA5_New_GLand_2010_05_28_1600,TOA5_New_GLand_2011_06_23_1530,TOA5_New_GLand_2014_01_17_1600,TOA5_New_GLand_2014_04_02_1300,TOA5_New_GLand_2014_05_08_1300
NaN,SWC_G2_37p5_AVG,NaN,SWC_G2_37p5_Avg,cs616_wcr_9,cs616_wcr_3_3,cs616_wcr_9,cs616_wcr_9,cs616_wcr_9,Soilwcr_g2_37p5,Soilwcr_g2_37p5,current,current,current
NaN,SWC_G2_52p5_AVG,NaN,SWC_G2_52p5_Avg,cs616_wcr_10,cs616_wcr_4_1,cs616_wcr_10,cs616_wcr_10,cs616_wcr_10,Soilwcr_g2_52p5,Soilwcr_g2_52p5,current,current,current
NaN,SWC_O1_2p5_AVG,NaN,SWC_O1_2p5_Avg,cs616_wcr_11,cs616_wcr_4_2,dne,dne,dne,Soilwcr_o1_2p5,Soilwcr_o1_2p5,current,current,current
NaN,SWC_O1_12p5_AVG,NaN,SWC_O1_12p5_Avg,cs616_wcr_12,cs616_wcr_4_3,dne,dne,dne,Soilwcr_o1_12p5,Soilwcr_o1_12p5,current,current,current
NaN,SWC_O1_22p5_AVG,NaN,SWC_O1_22p5_Avg,cs616_wcr_13,cs616_wcr_5_1,dne,dne,dne,Soilwcr_o1_22p5,Soilwcr_o1_22p5,current,current,current
NaN,SWC_O1_37p5_AVG,NaN,SWC_O1_37p5_Avg,cs616_wcr_14,cs616_wcr_5_2,dne,dne,dne,Soilwcr_o1_37p5,Soilwcr_o1_37p5,current,current,current
NaN,SWC_O1_52p5_AVG,NaN,SWC_O1_52p5_Avg,cs616_wcr_15,cs616_wcr_5_3,dne,dne,dne,Soilwcr_o1_52p5,Soilwcr_o1_52p5,current,current,current
NaN,SWC_O2_2p5_AVG,NaN,SWC_O2_2p5_Avg,cs616_wcr_16,cs616_wcr_6_1,dne,dne,dne,Soilwcr_O2_2p5,Soilwcr_O2_2p5,current,current,current
NaN,SWC_O2_12p5_AVG,NaN,SWC_O2_12p5_Avg,cs616_wcr_17,cs616_wcr_6_2,dne,dne,dne,Soilwcr_O2_12p5,Soilwcr_O2_12p5,current,current,current
NaN,SWC_O2_22p5_AVG,NaN,SWC_O2_22p5_Avg,cs616_wcr_18,cs616_wcr_6_3,dne,dne,dne,Soilwcr_O2_22p5,Soilwcr_O2_22p5,current,current,current
NaN,SWC_O2_37p5_AVG,NaN,SWC_O2_37p5_Avg,cs616_wcr_19,cs616_wcr_7_1,dne,dne,dne,Soilwcr_02_37p5,Soilwcr_02_37p5,current,current,current
NaN,SWC_O2_52p5_AVG,NaN,SWC_O2_52p5_Avg,cs616_wcr_20,cs616_wcr_7_2,dne,dne,dne,Soilwcr_O2_52p5,Soilwcr_O2_52p5,current,current,current
NaN,SOILT_AVG,NaN,Tsoil_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_G1_2p5_AVG,NaN,SoilT_G1_2p5_Avg,SoilT_g1_2p5_Avg,SoilT_g1_2p5_Avg,SoilT_g1_2p5_Avg,SoilT_g1_2p5_Avg,SoilT_g1_2p5_Avg,SoilT_g1_2p5_Avg,SoilT_g1_2p5_Avg,current,current,current
NaN,SOILT_G1_12p5_AVG,NaN,SoilT_G1_12p5_Avg,SoilT_g1_12p5_Avg,SoilT_g1_12p5_Avg,SoilT_g1_12p5_Avg,SoilT_g1_12p5_Avg,SoilT_g1_12p5_Avg,SoilT_g1_12p5_Avg,SoilT_g1_12p5_Avg,current,current,current
NaN,SOILT_G1_22p5_AVG,NaN,SoilT_G1_22p5_Avg,SoilT_g1_22p5_Avg,SoilT_g1_22p5_Avg,SoilT_g1_22p5_Avg,SoilT_g1_22p5_Avg,SoilT_g1_22p5_Avg,SoilT_g1_22p5_Avg,SoilT_g1_22p5_Avg,current,current,current
NaN,SOILT_G1_37p5_AVG,NaN,SoilT_G1_37p5_Avg,SoilT_g1_37p5_Avg,SoilT_g1_37p5_Avg,SoilT_g1_37p5_Avg,SoilT_g1_37p5_Avg,SoilT_g1_37p5_Avg,SoilT_g1_37p5_Avg,SoilT_g1_37p5_Avg,current,current,current
